Designator,Mid X,Mid Y,Rotation,Layer
10K_2,125.9645,-117.459499,0.0,top
10K,139.5,-110.0,180.0,top
1K_3,129.0125,-121.777499,180.0,top
1K_2,123.9325,-121.523499,90.0,top
1K,119.8685,-114.919499,90.0,top
3.3V1,117.2505,-84.318,90.0,top
510,133.3305,-121.777499,270.0,top
5V1,117.2505,-64.506,90.0,top
BATTERY1,137.7755,-86.102,270.0,top
LCD,157.5,-131.73,0.0,top
LCD_JDPCB1,173.7292,-83.1175,90.0,top
LED_MOSFET1,119.8685,-109.331499,90.0,top
LED_PWM,125.9645,-113.141499,180.0,top
MOSFET,120.8845,-122.040498,270.0,top
POTENT.,132.3145,-111.871499,180.0,top
PROGRAMMER,148.8245,-109.077499,270.0,top
SENSOR1,129.5195,-128.5585,180.0,top
SW,127.7425,-104.7075,270.0,top
U1,140.2139,-118.718498,0.0,top
